option_type,strike,moneyness,bid,ask,mid,implied_vol,volume,openInterest,lastTradeDate
put,4300.0,0.5624646209696061,1.15,1.45,1.2999999999999998,0.5778717005420576,2.0,0,2026-08-19 18:03:12+00:00
put,4400.0,0.5755451935502947,1.35,1.65,1.5,0.5647424078251447,10.0,0,2026-09-03 19:20:15+00:00
put,4500.0,0.5886257661309832,1.55,1.85,1.7000000000000002,0.5507638905899767,192.0,0,2026-09-10 19:40:55+00:00
put,4600.0,0.6017063387116717,1.75,2.1,1.925,0.5369271624450616,30.0,0,2026-09-10 13:58:46+00:00
put,4700.0,0.6147869112923602,2.0,2.35,2.175,0.5231361007421301,45.0,0,2026-09-10 20:08:42+00:00
put,4800.0,0.6278674838730487,2.3,2.6,2.45,0.5093234852979674,31.0,0,2026-09-10 15:05:39+00:00
put,4900.0,0.6409480564537372,2.6,2.9,2.75,0.49544302815159574,4.0,0,2026-09-10 15:55:13+00:00
put,5000.0,0.6540286290344257,2.95,3.3,3.125,0.48241662927744994,44.0,0,2026-09-10 19:31:35+00:00
put,5100.0,0.6671092016151142,3.3,3.6,3.45,0.46779094776532065,10.0,0,2026-09-10 19:47:10+00:00
put,5200.0,0.6801897741958027,3.7,4.1,3.9,0.45465422295259506,6.0,0,2026-09-10 16:35:18+00:00
put,5300.0,0.6932703467764912,4.2,4.5,4.35,0.44080247193814265,6.0,0,2026-09-10 14:31:35+00:00
put,5400.0,0.7063509193571798,4.7,5.0,4.85,0.4269859796864796,1003.0,0,2026-09-10 19:34:23+00:00
put,5450.0,0.712891205647524,4.9,5.3,5.1,0.4198516865618974,1.0,0,2026-09-09 17:36:25+00:00
put,5500.0,0.7194314919378683,5.2,5.6,5.4,0.41312926102556774,6.0,0,2026-09-09 17:17:35+00:00
put,5550.0,0.7259717782282125,5.6,5.9,5.75,0.4067424712687639,2.0,0,2026-09-10 13:53:09+00:00
put,5600.0,0.7325120645185568,5.9,6.3,6.1,0.4001412859075754,2.0,0,2026-09-10 13:58:20+00:00
put,5650.0,0.7390523508089011,6.3,6.6,6.449999999999999,0.39334727268610087,1.0,0,2026-09-09 17:35:04+00:00
put,5700.0,0.7455926370992453,6.6,7.0,6.8,0.38637870733970986,10.0,0,2026-09-10 13:30:11+00:00
put,5750.0,0.7521329233895896,7.0,7.4,7.2,0.3796581564682973,20.0,0,2026-09-10 13:58:46+00:00
put,5760.0,0.7534409806476584,7.2,7.5,7.35,0.37885139862762124,1.0,0,2026-09-03 13:30:03+00:00
put,5770.0,0.7547490379057272,7.3,7.6,7.449999999999999,0.3776283644364257,24.0,0,2026-08-19 13:12:33+00:00
put,5780.0,0.756057095163796,7.3,7.7,7.5,0.3760045714495328,,0,2026-09-03 20:04:21+00:00
put,5790.0,0.757365152421865,7.4,7.8,7.6,0.3747649719172492,25.0,0,2026-08-19 13:12:33+00:00
put,5800.0,0.7586732096799338,7.5,7.9,7.7,0.37351489611982114,17.0,0,2026-09-10 19:53:52+00:00
put,5810.0,0.7599812669380026,7.6,7.9,7.75,0.37187743243454086,1.0,0,2026-09-03 17:02:57+00:00
put,5820.0,0.7612893241960715,7.7,8.0,7.85,0.3706116742421777,2.0,0,2026-09-03 17:07:48+00:00
put,5840.0,0.7639054387122092,7.8,8.2,8.0,0.3676855813628889,49.0,0,2026-08-20 15:45:06+00:00
